iter	RMSE
0	0.4875946423
1	0.481915086
2	0.4740450746
3	0.4667173718
4	0.4591869278
5	0.4516162819
6	0.4459649355
7	0.4397228042
8	0.4351544393
9	0.4289605943
10	0.4242499983
11	0.4210683724
12	0.4160959911
13	0.410386986
14	0.4055775818
15	0.4009906293
16	0.3988556639
17	0.3965886957
18	0.3921174726
19	0.3891255125
20	0.3864188776
21	0.3828291241
22	0.3786905036
23	0.3764298958
24	0.3744895294
25	0.3702281968
26	0.3681851957
27	0.3643513277
28	0.3628566755
29	0.3600656214
30	0.3590453239
31	0.3556970877
32	0.3542180852
33	0.3523725521
34	0.3503881303
35	0.3483436277
36	0.3471011789
37	0.3451519859
38	0.3432644671
39	0.341480773
40	0.3400255855
41	0.3387196465
42	0.3365481413
43	0.3349562425
44	0.3337017763
45	0.3324815299
46	0.3313191935
47	0.3293109034
48	0.3273318626
49	0.3265732598
