account_id;account_district_number;account_frequency;account_date;account_age_days;account_year
576;55;1;1993-01-01;10921;1993
3818;74;1;1993-01-01;10921;1993
704;55;1;1993-01-01;10921;1993
2378;16;1;1993-01-01;10921;1993
2632;24;1;1993-01-02;10920;1993
1972;77;1;1993-01-02;10920;1993
1539;1;0;1993-01-03;10919;1993
793;47;1;1993-01-03;10919;1993
2484;74;1;1993-01-03;10919;1993
1695;76;1;1993-01-03;10919;1993
1726;48;1;1993-01-03;10919;1993
2881;70;1;1993-01-04;10918;1993
2357;19;1;1993-01-04;10918;1993
2177;62;1;1993-01-04;10918;1993
485;6;0;1993-01-04;10918;1993
652;21;1;1993-01-05;10917;1993
9635;70;1;1993-01-05;10917;1993
1844;44;1;1993-01-06;10916;1993
1926;37;1;1993-01-06;10916;1993
2393;10;1;1993-01-07;10915;1993
3510;41;1;1993-01-07;10915;1993
1276;36;1;1993-01-07;10915;1993
1637;1;1;1993-01-08;10914;1993
3871;26;1;1993-01-08;10914;1993
192;55;1;1993-01-08;10914;1993
764;1;1;1993-01-08;10914;1993
2087;7;2;1993-01-08;10914;1993
2122;68;1;1993-01-08;10914;1993
3592;54;1;1993-01-08;10914;1993
3487;41;1;1993-01-08;10914;1993
435;38;1;1993-01-08;10914;1993
1730;1;1;1993-01-09;10913;1993
1493;41;1;1993-01-09;10913;1993
374;38;1;1993-01-09;10913;1993
2925;1;1;1993-01-10;10912;1993
866;9;1;1993-01-10;10912;1993
1628;60;1;1993-01-10;10912;1993
2379;44;1;1993-01-10;10912;1993
1979;26;1;1993-01-11;10911;1993
346;37;1;1993-01-11;10911;1993
1338;74;1;1993-01-11;10911;1993
1909;14;1;1993-01-12;10910;1993
2099;3;2;1993-01-12;10910;1993
3760;44;1;1993-01-13;10909;1993
5270;44;1;1993-01-13;10909;1993
1699;53;1;1993-01-14;10908;1993
3909;1;1;1993-01-14;10908;1993
2926;50;1;1993-01-14;10908;1993
1731;33;1;1993-01-14;10908;1993
11265;15;1;1993-01-14;10908;1993
2519;4;1;1993-01-15;10907;1993
10364;55;1;1993-01-17;10905;1993
1481;15;1;1993-01-17;10905;1993
401;32;1;1993-01-18;10904;1993
4034;1;1;1993-01-18;10904;1993
2330;54;1;1993-01-19;10903;1993
1806;40;1;1993-01-19;10903;1993
3834;54;1;1993-01-19;10903;1993
1222;66;1;1993-01-20;10902;1993
212;27;2;1993-01-20;10902;1993
456;49;1;1993-01-21;10901;1993
459;47;1;1993-01-21;10901;1993
772;45;1;1993-01-21;10901;1993
1019;52;1;1993-01-21;10901;1993
11295;74;1;1993-01-21;10901;1993
2970;60;1;1993-01-22;10900;1993
2676;73;1;1993-01-22;10900;1993
1536;41;2;1993-01-22;10900;1993
1179;74;1;1993-01-23;10899;1993
280;25;1;1993-01-23;10899;1993
2425;41;1;1993-01-23;10899;1993
9307;68;1;1993-01-24;10898;1993
4055;23;1;1993-01-24;10898;1993
5065;66;1;1993-01-24;10898;1993
3704;75;1;1993-01-24;10898;1993
477;1;1;1993-01-25;10897;1993
5891;54;1;1993-01-25;10897;1993
1000;77;1;1993-01-25;10897;1993
1750;1;1;1993-01-26;10896;1993
2023;68;1;1993-01-26;10896;1993
6473;12;1;1993-01-26;10896;1993
1649;46;1;1993-01-26;10896;1993
2670;13;1;1993-01-27;10895;1993
1127;27;1;1993-01-27;10895;1993
163;30;1;1993-01-27;10895;1993
2566;48;1;1993-01-27;10895;1993
9;70;1;1993-01-27;10895;1993
1144;59;1;1993-01-28;10894;1993
2902;32;1;1993-01-28;10894;1993
4296;63;1;1993-01-28;10894;1993
443;64;1;1993-01-28;10894;1993
3693;61;1;1993-01-29;10893;1993
2070;72;1;1993-01-29;10893;1993
1843;12;1;1993-01-30;10892;1993
2714;1;1;1993-01-30;10892;1993
4078;40;1;1993-01-30;10892;1993
1675;36;1;1993-02-01;10890;1993
5868;44;1;1993-02-02;10889;1993
1805;1;1;1993-02-02;10889;1993
2434;17;1;1993-02-02;10889;1993
3007;16;1;1993-02-02;10889;1993
2574;68;1;1993-02-02;10889;1993
862;64;2;1993-02-02;10889;1993
1132;1;2;1993-02-03;10888;1993
4484;54;1;1993-02-03;10888;1993
943;1;1;1993-02-03;10888;1993
3514;7;1;1993-02-03;10888;1993
3983;67;1;1993-02-04;10887;1993
9265;1;1;1993-02-04;10887;1993
465;32;1;1993-02-04;10887;1993
982;54;1;1993-02-05;10886;1993
411;70;1;1993-02-05;10886;1993
890;14;1;1993-02-05;10886;1993
