district_id;district_name;region;no._of_municipalities_with_inhabitants_less_499;no._of_municipalities_with_inhabitants_500-1999;no._of_municipalities_with_inhabitants_2000-9999;no._of_municipalities_with_inhabitants_>10000;no._of_cities;ratio_of_urban_inhabitants;average_salary;criminal_growth;unemploymant_growth;enterpreneurs_ratio
1;17;0;0;0;0;1;1;1.0;12541.0;0.01114566294286997;0.43;0.167
2;0;1;80;26;6;2;5;0.47;8507.0;0.005794068673777058;1.83;0.132
3;1;1;55;26;4;1;5;0.42;8980.0;-0.00014621437686091024;2.19;0.111
4;27;1;63;29;6;2;6;0.67;9753.0;0.004323083799777174;5.0;0.109
5;29;1;65;30;4;1;6;0.51;9307.0;0.004434404283801874;4.39;0.118
6;31;1;60;23;4;2;4;0.52;8546.0;0.0061567666713697525;3.99;0.126
7;35;1;38;28;1;3;6;0.63;9920.0;0.005880179466877804;2.85;0.13
8;36;1;95;19;7;1;8;0.69;11277.0;-0.001713291393387766;1.43;0.127
9;40;1;61;23;4;2;6;0.55;8899.0;-0.006146734854445318;3.94;0.149
10;51;1;55;29;4;3;5;0.47;10124.0;0.005494982841753182;0.53;0.141
11;52;1;35;36;9;0;7;0.36;9622.0;0.0007139363010166982;0.59;0.154
12;54;1;84;29;6;1;6;0.58;8754.0;0.0005933067581347919;4.27;0.137
13;56;1;61;22;1;1;2;0.41;8598.0;0.005155690732738636;3.23;0.123
14;8;5;69;27;10;1;9;0.75;10045.0;-0.0017390227705052733;1.7;0.135
15;9;5;22;16;7;1;5;0.52;9045.0;0.0005782706306551466;3.57;0.124
16;24;5;74;21;10;1;8;0.57;8427.0;0.00041519839030777913;1.53;0.107
17;45;5;99;15;4;2;7;0.61;8114.0;0.0024033917528557157;2.6;0.119
18;46;5;60;13;2;1;4;0.65;8968.0;0.002404560177654564;3.32;0.131
19;50;5;50;11;3;1;4;0.53;8402.0;0.0019444660496227735;3.95;0.12
20;61;5;94;14;3;1;4;0.58;8547.0;-0.00029725674489709255;3.61;0.12
21;64;5;87;16;7;1;7;0.67;9104.0;0.000532187678403824;2.05;0.123
22;14;7;65;16;4;1;6;0.52;8620.0;0.00047945205479452054;1.24;0.1
23;10;7;21;11;4;3;9;0.86;8624.0;0.003649092302588682;2.64;0.102
24;25;7;25;21;6;2;8;0.8;8991.0;0.0006117305449295695;2.0;0.128
25;28;7;60;33;3;2;10;0.62;8554.0;0.004461619928569014;2.66;0.113
26;48;7;0;0;0;1;1;1.0;10787.0;0.0012907086577216645;3.06;0.131
27;47;7;71;19;10;0;7;0.44;8561.0;0.0014562096941959641;1.28;0.11
28;49;7;66;26;10;0;8;0.37;8594.0;-0.0007581919190526737;1.99;0.112
29;57;7;52;10;5;1;6;0.56;8843.0;0.0015312595703723148;3.57;0.113
30;60;7;15;13;8;2;10;0.82;9650.0;-0.0019090410496561618;3.64;0.1
31;65;7;34;12;3;1;4;0.59;8930.0;0.0024165416171340595;4.16;0.108
32;7;3;32;19;7;2;10;0.81;9272.0;0.0015705610234346742;3.19;0.118
33;13;3;24;17;7;3;11;0.85;8705.0;0.001562301441951905;7.55;0.116
34;11;3;28;11;1;4;5;0.88;9675.0;-0.0010619949535277395;7.62;0.1
35;20;3;10;18;5;1;7;0.8;8867.0;0.0026586157173756307;1.2;0.13
36;32;3;29;19;8;1;9;0.85;9198.0;0.0021050389369553367;4.25;0.131
37;33;3;71;26;6;2;9;0.62;9065.0;0.00016665789519849832;5.35;0.123
38;34;3;41;23;4;2;4;0.6;8965.0;0.001968503937007874;8.16;0.104
39;37;3;17;4;3;2;4;0.9;10446.0;-0.0017014888027023646;9.33;0.09
40;66;3;9;16;6;3;8;0.85;9317.0;-0.0006010084453394527;7.01;0.097
41;70;3;8;8;5;1;3;0.86;9832.0;-0.008209018120522545;4.45;0.114
42;16;2;87;25;5;2;7;0.59;8388.0;0.00010426767597777013;2.92;0.087
43;19;2;73;21;6;1;6;0.76;9425.0;-0.0011986110939488676;2.48;0.125
44;12;2;77;26;7;2;7;0.53;8254.0;0.0015055962729390376;3.73;0.097
45;22;2;85;19;6;1;5;0.54;8390.0;0.0005390351271224508;2.87;0.132
46;38;2;48;20;7;3;10;0.74;8369.0;-0.0020938877995546053;2.29;0.117
47;44;2;83;26;5;1;6;0.73;9538.0;-0.004114897281338418;1.79;0.111
48;58;2;50;24;8;1;9;0.59;9060.0;0.0007852574251155721;2.42;0.124
49;59;2;31;28;5;1;9;0.61;8208.0;0.006117460527185043;2.24;0.155
50;63;2;75;33;2;3;6;0.52;8187.0;0.00010720307185529534;5.4;0.094
51;68;2;37;28;7;3;11;0.7;8541.0;0.0028126973193272485;2.94;0.131
52;71;2;59;41;8;3;10;0.62;8363.0;0.0016905015394354445;3.46;0.108
53;2;6;88;33;6;2;7;0.51;8240.0;0.00049114548099823;3.53;0.099
54;4;6;0;0;0;1;1;1.0;9897.0;-6.450447661067678e-05;1.94;0.14
55;5;6;49;70;18;0;9;0.34;8743.0;0.001496414971790986;2.41;0.111
56;3;6;11;42;14;1;8;0.46;8772.0;0.002439709481963003;4.93;0.126
57;18;6;21;37;20;3;8;0.48;8720.0;-0.00048161823727725157;4.46;0.116
58;23;6;98;16;6;1;4;0.64;8757.0;0.002372577040049833;3.92;0.096
59;30;6;41;29;7;2;6;0.62;8444.0;-0.0026637029144583957;3.44;0.106
60;55;6;49;41;4;1;4;0.52;8441.0;0.0033712028777238504;4.45;0.115
61;67;6;139;28;5;1;6;0.54;8814.0;-0.00044954494177120704;5.69;0.107
62;69;6;22;41;13;2;5;0.41;8544.0;0.0012835648783702158;1.85;0.109
63;73;6;38;36;5;1;5;0.5;8288.0;-0.0011790135586559245;4.48;0.11
64;75;6;29;41;10;2;10;0.75;9624.0;-0.0011111167484360652;2.29;0.145
65;76;6;101;41;4;1;4;0.44;8403.0;0.0049124343257443085;5.66;0.105
66;74;6;151;41;2;3;5;0.48;8512.0;-0.0011443829868395957;4.08;0.102
67;6;4;38;25;6;2;6;0.63;8110.0;-0.0015558111905255812;6.49;0.109
68;15;4;15;40;18;2;6;0.57;9893.0;0.00115360413899182;4.68;0.096
69;21;4;4;13;5;1;3;0.48;8173.0;-0.08155614743872595;6.98;0.124
70;26;4;0;2;8;5;7;0.9;10177.0;0.0008059231850084271;7.68;0.081
71;39;4;5;35;11;4;10;0.7;8678.0;-0.002387937504264174;5.51;0.102
72;41;4;32;50;7;4;4;0.63;8994.0;-0.0020519896339144354;4.75;0.11
73;42;4;17;49;12;2;7;0.56;8746.0;0.0004285078587242552;3.71;0.09
74;43;4;0;0;0;1;1;1.0;10673.0;-0.0013431315033809862;5.39;0.1
75;53;4;67;30;4;2;5;0.65;8819.0;0.003202156021792048;5.61;0.099
76;62;4;31;32;13;2;7;0.51;8369.0;-0.007293768499399383;5.83;0.107
77;72;4;8;35;12;3;4;0.54;8909.0;0.0008751556767309569;5.52;0.113
