account.NUM_UNIQUE(transaction.trans_operation);loan_status;account.SKEW(transaction.trans_day);account.MEAN(transaction.trans_day);account.MODE(disp.type) = OWNER;account.COUNT(disp);account.MODE(disp.type) = DISPONENT;account.NUM_UNIQUE(disp.type);account.SUM(transaction.trans_amount);account.MAX(transaction.trans_day)
-3.0;0;-0.13438544094823604;0.9839468788000182;0.0;0.0;0.0;0.0;-0.6742773745229147;-9.0
0.0;1;0.06677495521950816;-0.20634462540001955;0.0;0.0;0.0;0.0;0.5381833423487467;0.0
1.0;1;0.888717017258699;-0.7065950902557445;0.0;0.0;0.0;0.0;-0.667744740143699;0.0
1.0;1;-0.8053230695395148;0.803622402100737;0.0;0.0;0.0;0.0;-0.1383521335376198;0.0
1.0;1;1.260581931854076;0.2518603280978077;0.0;0.0;0.0;0.0;0.1191960328406483;0.0
0.0;1;-0.023546151251754816;0.9431494858816288;-1.0;1.0;1.0;1.0;0.22246074519233047;0.0
0.0;1;1.0354057890651212;-1.0483325544834745;0.0;0.0;0.0;0.0;-0.6391975055154503;0.0
-1.0;0;-0.37291538362498833;0.8755788038605462;0.0;0.0;0.0;0.0;0.7621771797711121;0.0
-1.0;1;-0.3794424870674189;0.6154954240058135;0.0;0.0;0.0;0.0;0.5832660717438072;0.0
0.0;1;0.5589108157178581;0.7972203496735428;0.0;0.0;0.0;0.0;0.5753627169717274;0.0
0.0;1;0.5391306084935039;-0.1257422085801745;-1.0;1.0;1.0;1.0;0.42016544934989897;0.0
0.0;1;0.49030944768466833;0.38199289272114034;0.0;0.0;0.0;0.0;2.4842626760955606;0.0
-1.0;0;-0.7034683958728719;0.5861722978457207;0.0;0.0;0.0;0.0;1.8659091831658166;0.0
0.0;1;0.6262235799962115;-1.2062289515556257;0.0;0.0;0.0;0.0;-0.12234906735315962;0.0
-1.0;1;-0.5641945119766466;1.0282163902646542;0.0;0.0;0.0;0.0;-0.38854070199386986;0.0
0.0;1;-0.401851523951241;0.09223243358379117;0.0;0.0;0.0;0.0;0.7860647202814699;0.0
1.0;1;2.1166400633132816;-1.4638966963033484;0.0;0.0;0.0;0.0;1.1049969932889452;0.0
1.0;1;-0.7683852857053907;1.4981347102369609;0.0;0.0;0.0;0.0;0.36890126187462063;0.0
-1.0;1;0.2167175117428292;0.8683542655312485;0.0;0.0;0.0;0.0;-0.02655723560059182;0.0
-1.0;0;-0.16445276337503295;0.1546955227414504;0.0;0.0;0.0;0.0;0.1509869281230854;0.0
1.0;1;-0.727859615028107;0.7334962167176832;-1.0;1.0;1.0;1.0;-0.381981634989998;0.0
1.0;1;-0.7377806942111275;0.7334962167176832;-1.0;1.0;1.0;1.0;-0.34767208818678813;0.0
