account_district_id;account_frequency;account_year;COUNT(client);MAX(client.birth_year);MAX(client.client_age);MAX(client.client_gender);MEAN(client.birth_year);MEAN(client.client_age);MEAN(client.client_gender);MIN(client.birth_year);MIN(client.client_age);MIN(client.client_gender);MODE(client.type);NUM_UNIQUE(client.type);SKEW(client.birth_year);SKEW(client.client_age);SKEW(client.client_gender);STD(client.birth_year);STD(client.client_age);STD(client.client_gender);SUM(client.birth_year);SUM(client.client_age);SUM(client.client_gender);COUNT(loan);MAX(loan.loan_amount);MAX(loan.loan_duration);MAX(loan.loan_payments);MAX(loan.loan_status);MAX(loan.loan_year);MEAN(loan.loan_amount);MEAN(loan.loan_duration);MEAN(loan.loan_payments);MEAN(loan.loan_status);MEAN(loan.loan_year);MIN(loan.loan_amount);MIN(loan.loan_duration);MIN(loan.loan_payments);MIN(loan.loan_status);MIN(loan.loan_year);SKEW(loan.loan_amount);SKEW(loan.loan_duration);SKEW(loan.loan_payments);SKEW(loan.loan_status);SKEW(loan.loan_year);STD(loan.loan_amount);STD(loan.loan_duration);STD(loan.loan_payments);STD(loan.loan_status);STD(loan.loan_year);SUM(loan.loan_amount);SUM(loan.loan_duration);SUM(loan.loan_payments);SUM(loan.loan_status);SUM(loan.loan_year);COUNT(transaction);MAX(transaction.trans_amount);MAX(transaction.trans_balance);MAX(transaction.trans_day);MAX(transaction.trans_month);MAX(transaction.trans_year);MEAN(transaction.trans_amount);MEAN(transaction.trans_balance);MEAN(transaction.trans_day);MEAN(transaction.trans_month);MEAN(transaction.trans_year);MIN(transaction.trans_amount);MIN(transaction.trans_balance);MIN(transaction.trans_day);MIN(transaction.trans_month);MIN(transaction.trans_year);MODE(transaction.trans_operation);MODE(transaction.trans_type);NUM_UNIQUE(transaction.trans_operation);NUM_UNIQUE(transaction.trans_type);SKEW(transaction.trans_amount);SKEW(transaction.trans_balance);SKEW(transaction.trans_day);SKEW(transaction.trans_month);SKEW(transaction.trans_year);STD(transaction.trans_amount);STD(transaction.trans_balance);STD(transaction.trans_day);STD(transaction.trans_month);STD(transaction.trans_year);SUM(transaction.trans_amount);SUM(transaction.trans_balance);SUM(transaction.trans_day);SUM(transaction.trans_month);SUM(transaction.trans_year);DAY(account_date);MONTH(account_date);WEEKDAY(account_date);YEAR(account_date)
55;1;1993;2;1936.0;87.0;1.0;1935.5;86.5;0.5;1935.0;86.0;0.0;DISPONENT;2;;;;0.7071067811865476;0.7071067811865476;0.7071067811865476;3871.0;173.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;229;6207.0;42772.1;31.0;12.0;1996.0;168.1296943231441;24283.200436681225;20.061135371179038;6.393013100436681;1994.585152838428;-12500.0;900.0;1.0;1.0;1993.0;withdrawal in cash;withdrawal;5;2;0.3150244615011836;0.21054655201531022;-0.040677440613729146;-0.03111633403518268;-0.07880360877934053;3602.3328806690624;7527.598957098023;9.618408908616262;3.627761392858112;1.0994207399265992;38501.7;5560852.9;4594.0;1464.0;456760.0;1;1;4;1993
74;1;1993;2;1935.0;88.0;1.0;1934.5;87.5;0.5;1934.0;87.0;0.0;DISPONENT;2;;;;0.7071067811865476;0.7071067811865476;0.7071067811865476;3869.0;175.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;366;26049.0;75835.2;31.0;12.0;1996.0;133.9448087431694;42826.89180327869;16.997267759562842;6.426229508196721;1994.6092896174864;-20480.0;600.0;1.0;1.0;1993.0;withdrawal in cash;withdrawal;4;2;1.5804215973174076;0.05442986774367041;0.46780917475333655;-0.020841268806172115;-0.12139282575725596;7951.024645881265;10088.928860441825;9.497079185852618;3.5744558726522073;1.084294373542445;49023.8;15674642.4;6221.0;2352.0;730027.0;1;1;4;1993
55;1;1993;2;1953.0;77.0;1.0;1949.0;73.0;0.5;1945.0;69.0;0.0;DISPONENT;2;;;;5.656854249492381;5.656854249492381;0.7071067811865476;3898.0;146.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;320;26216.0;62186.2;31.0;12.0;1996.0;127.40375000000002;34748.2559375;17.821875;6.36875;1994.596875;-24640.0;1000.0;1.0;1.0;1993.0;withdrawal in cash;withdrawal;4;2;0.8801056856693956;0.1943032303657338;0.18334896782622762;-0.015328093826423535;-0.10215076054067421;9196.65605247415;9880.186927906385;10.075397092293588;3.616614178914065;1.0813275177428583;40769.200000000004;11119441.9;5703.0;2038.0;638271.0;1;1;4;1993
16;1;1993;1;1975.0;47.0;0.0;1975.0;47.0;0.0;1975.0;47.0;0.0;OWNER;1;;;;;;;1975.0;47.0;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;307;49752.0;151483.0;31.0;12.0;1996.0;297.93876221498374;57997.02605863192;19.752442996742673;6.648208469055374;1994.5081433224755;-63900.0;700.0;1.0;1.0;1993.0;withdrawal in cash;withdrawal;4;3;0.19214694690442466;0.5487944816941625;-0.3244341293080049;-0.028341598270347754;-0.044615212050147235;20340.356661231555;27719.46327814337;10.21551838663549;3.4242534202086152;1.1669882493677952;91467.20000000001;17805087.0;6064.0;2041.0;612314.0;1;1;4;1993
24;1;1993;1;1938.0;84.0;1.0;1938.0;84.0;1.0;1938.0;84.0;1.0;OWNER;1;;;;;;;1938.0;84.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;368;21396.0;54876.8;31.0;12.0;1996.0;72.52146739130434;32355.723369565214;16.005434782608695;6.502717391304348;1994.5951086956522;-14400.0;1100.0;1.0;1.0;1993.0;withdrawal in cash;withdrawal;4;2;1.332794220271848;0.09357553168218086;0.46344272319007623;-0.056347137658121924;-0.09207100267154343;6725.284988368111;8432.668459364202;10.132633917702567;3.5648898246858933;1.0857903055414346;26687.899999999998;11906906.2;5890.0;2393.0;734011.0;2;1;5;1993
77;1;1993;1;1918.0;104.0;1.0;1918.0;104.0;1.0;1918.0;104.0;1.0;OWNER;1;;;;;;;1918.0;104.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;240;5298.0;34912.8;31.0;12.0;1996.0;111.95916666666666;22517.175;18.504166666666666;6.308333333333334;1994.5833333333333;-5950.0;400.0;1.0;1.0;1993.0;withdrawal in cash;withdrawal;5;2;0.8169454445496662;-0.5876995922480267;0.044072037505084524;0.017296987487081167;-0.07452802571137183;2873.8680930178843;4780.5079672890215;10.798263426426459;3.6264851716420226;1.0713721177929532;26870.199999999997;5404122.0;4441.0;1514.0;478700.0;2;1;5;1993
1;0;1993;1;1942.0;80.0;0.0;1942.0;80.0;0.0;1942.0;80.0;0.0;OWNER;1;;;;;;;1942.0;80.0;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;299;49605.0;95986.2;31.0;12.0;1996.0;33.467224080267584;25449.084949832777;20.702341137123746;6.6521739130434785;1994.571906354515;-35900.0;-5950.5;1.0;1.0;1993.0;withdrawal in cash;withdrawal;3;3;1.8935686201057202;0.9581366959597668;-0.6135512122467986;-0.05999188856512117;-0.014909670502475499;12978.994290486422;20719.708496849977;10.580231718895236;3.427986909474998;1.0948384290991953;10006.700000000008;7609276.4;6190.0;1989.0;596377.0;3;1;6;1993
47;1;1993;2;1965.0;62.0;1.0;1962.5;59.5;0.5;1960.0;57.0;0.0;DISPONENT;2;;;;3.5355339059327378;3.5355339059327378;0.7071067811865476;3925.0;119.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;327;3401.0;32246.8;31.0;12.0;1996.0;85.54892966360856;23876.185626911316;15.996941896024465;6.559633027522936;1994.611620795107;-3500.0;800.0;2.0;1.0;1993.0;remittance to another bank;withdrawal;5;2;1.4457857126835854;-1.0327363001638727;0.49375260621721245;-0.08556114813027747;-0.12147479177797248;1471.1011941073482;5045.941916534324;10.288327554605106;3.5733278967310227;1.079189426816899;27974.5;7807512.7;5231.0;2145.0;652238.0;3;1;6;1993
74;1;1993;1;1979.0;43.0;0.0;1979.0;43.0;0.0;1979.0;43.0;0.0;OWNER;1;;;;;;;1979.0;43.0;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;403;22168.0;53805.8;31.0;12.0;1996.0;56.136228287841185;31860.822580645163;16.46153846153846;6.543424317617866;1994.6004962779157;-16100.0;1100.0;1.0;1.0;1993.0;remittance to another bank;withdrawal;4;2;1.33423762244567;-0.017082396044839535;0.46049507877713436;-0.05896499206706591;-0.10100895194201977;6691.8316112527;8921.93176187722;9.460595661165542;3.5372889506657095;1.0820561557700679;22622.899999999998;12839911.5;6634.0;2637.0;803824.0;3;1;6;1993
76;1;1993;1;1971.0;51.0;1.0;1971.0;51.0;1.0;1971.0;51.0;1.0;OWNER;1;;;;;;;1971.0;51.0;1.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;278;49938.0;136839.9;31.0;12.0;1996.0;322.41294964028776;52517.11079136691;20.107913669064747;6.129496402877698;1994.7769784172663;-61500.0;200.0;1.0;1.0;1993.0;withdrawal in cash;credit;4;3;0.17755216676932645;0.8570202159081379;-0.41664516016573266;0.12715669297223464;-0.16315852339743295;18396.44124275395;25108.171246321628;10.140308561645057;3.5987052071345125;0.9691498784491952;89630.8;14599756.8;5590.0;1704.0;554548.0;3;1;6;1993
