account.NUM_UNIQUE(transaction.trans_operation);loan_status;account.SKEW(transaction.trans_day);account.MEAN(transaction.trans_day);account.MODE(disp.type) = OWNER;account.COUNT(disp);account.MODE(disp.type) = DISPONENT;account.NUM_UNIQUE(disp.type);account.SUM(transaction.trans_amount);account.MAX(transaction.trans_day)
4;;0.6888813567924995;14.325842696629213;True;1;False;1;49548.59999999999;31.0
4;;-0.1587552597657949;18.91025641025641;True;1;False;1;11565.599999999999;31.0
5;;0.8217116223982663;15.857954545454545;True;1;False;1;45753.899999999994;31.0
4;;-0.038901975378636496;18.75438596491228;True;1;False;1;13994.399999999998;31.0
5;;0.9477032185903709;15.422535211267606;False;2;True;2;38913.49999999999;31.0
4;;0.25763742675470225;16.87719298245614;True;1;False;1;46156.6;31.0
3;;0.0873534598305923;19.24137931034483;True;1;False;1;42501.2;31.0
3;;0.516566368635093;17.3125;False;2;True;2;44278.0;31.0
4;;-0.40691055120616654;19.714285714285715;True;1;False;1;26264.000000000004;31.0
5;;0.7168956474331688;14.333333333333334;True;1;False;1;19757.8;31.0
4;;0.20904985771113646;16.56923076923077;True;1;False;1;21065.8;31.0
4;;0.07396092803456494;17.11627906976744;True;1;False;1;24539.8;31.0
3;;-0.8542725237173598;22.10810810810811;True;1;False;1;13480.5;31.0
3;;0.7467323081930748;16.666666666666668;True;1;False;1;23990.0;31.0
4;;-1.3703778687581412;23.818181818181817;True;1;False;1;45020.69999999999;31.0
4;;0.46810930749500523;17.356164383561644;True;1;False;1;38678.799999999996;31.0
4;;0.39381441395608546;17.26086956521739;False;2;True;2;20739.100000000002;31.0
4;;-0.6218122378828888;21.80952380952381;True;1;False;1;28038.0;31.0
3;;1.0896554000169367;13.75;False;2;True;2;46505.4;31.0
4;;0.6167840708248675;16.253968253968253;True;1;False;1;46446.1;31.0
4;;0.5919365903866876;15.686868686868687;True;1;False;1;17104.200000000004;31.0
3;;0.47338176870143833;15.318181818181818;True;1;False;1;22740.6;31.0
3;;-0.5382452598990237;21.112781954887218;True;1;False;1;85375.4;31.0
4;;1.0520639809025238;12.457627118644067;True;1;False;1;17662.3;31.0
4;;0.01856245114884952;17.6793893129771;False;2;True;2;13431.199999999999;31.0
3;;-0.7120462556997611;21.630252100840337;True;1;False;1;45706.70000000001;31.0
4;;0.23607567649750072;16.5;True;1;False;1;79230.2;31.0
4;;0.41943951284170344;15.543859649122806;True;1;False;1;59311.100000000006;31.0
4;;0.16716336079207045;19.153846153846153;True;1;False;1;36566.0;31.0
4;;0.46138147694247555;15.543859649122806;True;1;False;1;64497.4;31.0
5;;-0.2752298638695653;18.623376623376622;True;1;False;1;68367.1;31.0
3;;-0.309445246202658;21.388489208633093;True;1;False;1;41046.2;31.0
4;;-0.20043932141549392;19.875;True;1;False;1;91941.5;31.0
5;;0.534723719918396;14.895522388059701;True;1;False;1;39415.4;31.0
4;;0.7234637128479837;14.024390243902438;True;1;False;1;46090.1;31.0
3;;0.23010426255463148;17.651162790697676;True;1;False;1;12552.0;31.0
4;;0.6411373965159913;15.457142857142857;True;1;False;1;40773.3;31.0
6;;0.8211285601541668;15.864197530864198;True;1;False;1;70923.59999999999;31.0
3;;0.7373839833284787;19.166666666666668;True;1;False;1;37381.5;31.0
3;;-0.622530923614552;20.357142857142858;True;1;False;1;55706.0;31.0
4;;0.037416255892702956;17.666666666666668;True;1;False;1;70684.0;31.0
4;;0.03180288003936501;17.87142857142857;False;2;True;2;14930.000000000002;31.0
3;;-0.5636405324265682;21.84375;True;1;False;1;16915.700000000004;31.0
4;;0.10292478511777099;18.553846153846155;False;2;True;2;78119.69999999998;31.0
4;;-0.14689024735372377;19.095238095238095;False;2;True;2;34768.4;31.0
4;;-0.2130224885629292;19.805084745762713;True;1;False;1;26222.299999999996;31.0
4;;0.4586713754811097;16.510526315789473;True;1;False;1;35310.3;31.0
3;;-0.5449226541753163;20.071428571428573;False;2;True;2;44308.2;31.0
4;;0.3262786706048053;16.4;True;1;False;1;36281.0;31.0
3;;-0.8720848458312014;22.357142857142858;False;2;True;2;23421.3;31.0
3;;-0.08823744109728779;17.72222222222222;True;1;False;1;-204.90000000001328;31.0
4;;0.4038640512663674;16.628318584070797;True;1;False;1;44345.79999999999;31.0
4;;1.0075597294895677;14.521739130434783;True;1;False;1;38166.2;31.0
3;;-0.30807612532692574;19.2;True;1;False;1;18581.5;31.0
4;;0.14394929302141715;18.138157894736842;True;1;False;1;91178.5;31.0
4;;0.36134578720802896;16.885135135135137;True;1;False;1;66450.4;31.0
4;;0.4312451745714279;16.544117647058822;True;1;False;1;35422.0;31.0
3;;-0.42497209946138365;20.514705882352942;True;1;False;1;10043.700000000006;31.0
5;;-0.18022780305606265;19.01063829787234;False;2;True;2;22674.5;31.0
3;;-0.37675166205881766;23.0625;True;1;False;1;68616.90000000001;31.0
5;;0.5743276894062873;16.18867924528302;True;1;False;1;28610.899999999998;31.0
5;;0.10789317832160344;18.38144329896907;True;1;False;1;29850.80000000001;31.0
4;;0.2682941262822082;16.493333333333332;True;1;False;1;35612.7;31.0
3;;-0.12693512271383334;17.4;True;1;False;1;52478.9;31.0
5;;-0.18641152449301868;19.373333333333335;False;2;True;2;22638.9;31.0
5;;-0.1026860247674144;20.65;True;1;False;1;48488.5;31.0
4;;0.3176813699676699;14.785714285714286;True;1;False;1;53598.49999999999;31.0
