account_id;district_id;account_frequency;account_date;Day;Month;Year;account_frequency_after-transaction;account_frequency_monthly;account_frequency_weekly
576;55;1;1993-01-01;1;1;1993;0;1;0
3818;74;1;1993-01-01;1;1;1993;0;1;0
704;55;1;1993-01-01;1;1;1993;0;1;0
2378;16;1;1993-01-01;1;1;1993;0;1;0
2632;24;1;1993-01-02;2;1;1993;0;1;0
1972;77;1;1993-01-02;2;1;1993;0;1;0
1539;1;0;1993-01-03;3;1;1993;1;0;0
793;47;1;1993-01-03;3;1;1993;0;1;0
2484;74;1;1993-01-03;3;1;1993;0;1;0
1695;76;1;1993-01-03;3;1;1993;0;1;0
1726;48;1;1993-01-03;3;1;1993;0;1;0
2881;70;1;1993-01-04;4;1;1993;0;1;0
2357;19;1;1993-01-04;4;1;1993;0;1;0
2177;62;1;1993-01-04;4;1;1993;0;1;0
485;6;0;1993-01-04;4;1;1993;1;0;0
652;21;1;1993-01-05;5;1;1993;0;1;0
7106;70;1;1993-01-05;5;1;1993;0;1;0
1844;44;1;1993-01-06;6;1;1993;0;1;0
1926;37;1;1993-01-06;6;1;1993;0;1;0
2393;10;1;1993-01-07;7;1;1993;0;1;0
3510;41;1;1993-01-07;7;1;1993;0;1;0
1276;36;1;1993-01-07;7;1;1993;0;1;0
1637;1;1;1993-01-08;8;1;1993;0;1;0
3871;26;1;1993-01-08;8;1;1993;0;1;0
192;55;1;1993-01-08;8;1;1993;0;1;0
764;1;1;1993-01-08;8;1;1993;0;1;0
2087;7;2;1993-01-08;8;1;1993;0;0;1
2122;68;1;1993-01-08;8;1;1993;0;1;0
3592;54;1;1993-01-08;8;1;1993;0;1;0
3487;41;1;1993-01-08;8;1;1993;0;1;0
435;38;1;1993-01-08;8;1;1993;0;1;0
1730;1;1;1993-01-09;9;1;1993;0;1;0
1493;41;1;1993-01-09;9;1;1993;0;1;0
374;38;1;1993-01-09;9;1;1993;0;1;0
2925;1;1;1993-01-10;10;1;1993;0;1;0
866;9;1;1993-01-10;10;1;1993;0;1;0
1628;60;1;1993-01-10;10;1;1993;0;1;0
2379;44;1;1993-01-10;10;1;1993;0;1;0
1979;26;1;1993-01-11;11;1;1993;0;1;0
346;37;1;1993-01-11;11;1;1993;0;1;0
1338;74;1;1993-01-11;11;1;1993;0;1;0
1909;14;1;1993-01-12;12;1;1993;0;1;0
2099;3;2;1993-01-12;12;1;1993;0;0;1
3760;44;1;1993-01-13;13;1;1993;0;1;0
5270;44;1;1993-01-13;13;1;1993;0;1;0
1699;53;1;1993-01-14;14;1;1993;0;1;0
3909;1;1;1993-01-14;14;1;1993;0;1;0
2926;50;1;1993-01-14;14;1;1993;0;1;0
1731;33;1;1993-01-14;14;1;1993;0;1;0
7106;15;1;1993-01-14;14;1;1993;0;1;0
2519;4;1;1993-01-15;15;1;1993;0;1;0
7106;55;1;1993-01-17;17;1;1993;0;1;0
1481;15;1;1993-01-17;17;1;1993;0;1;0
401;32;1;1993-01-18;18;1;1993;0;1;0
4034;1;1;1993-01-18;18;1;1993;0;1;0
2330;54;1;1993-01-19;19;1;1993;0;1;0
1806;40;1;1993-01-19;19;1;1993;0;1;0
3834;54;1;1993-01-19;19;1;1993;0;1;0
1222;66;1;1993-01-20;20;1;1993;0;1;0
212;27;2;1993-01-20;20;1;1993;0;0;1
456;49;1;1993-01-21;21;1;1993;0;1;0
459;47;1;1993-01-21;21;1;1993;0;1;0
772;45;1;1993-01-21;21;1;1993;0;1;0
1019;52;1;1993-01-21;21;1;1993;0;1;0
7106;74;1;1993-01-21;21;1;1993;0;1;0
2970;60;1;1993-01-22;22;1;1993;0;1;0
2676;73;1;1993-01-22;22;1;1993;0;1;0
1536;41;2;1993-01-22;22;1;1993;0;0;1
