,account_id,district_id,account_frequency,account_date,account_year
0,576,55,1,1993-01-01,1993
1,3818,74,1,1993-01-01,1993
2,704,55,1,1993-01-01,1993
3,2378,16,1,1993-01-01,1993
4,2632,24,1,1993-01-02,1993
5,1972,77,1,1993-01-02,1993
6,1539,1,0,1993-01-03,1993
7,793,47,1,1993-01-03,1993
8,2484,74,1,1993-01-03,1993
9,1695,76,1,1993-01-03,1993
10,1726,48,1,1993-01-03,1993
11,2881,70,1,1993-01-04,1993
12,2357,19,1,1993-01-04,1993
13,2177,62,1,1993-01-04,1993
14,485,6,0,1993-01-04,1993
15,652,21,1,1993-01-05,1993
16,9635,70,1,1993-01-05,1993
17,1844,44,1,1993-01-06,1993
18,1926,37,1,1993-01-06,1993
19,2393,10,1,1993-01-07,1993
20,3510,41,1,1993-01-07,1993
21,1276,36,1,1993-01-07,1993
22,1637,1,1,1993-01-08,1993
23,3871,26,1,1993-01-08,1993
24,192,55,1,1993-01-08,1993
25,764,1,1,1993-01-08,1993
26,2087,7,2,1993-01-08,1993
27,2122,68,1,1993-01-08,1993
28,3592,54,1,1993-01-08,1993
29,3487,41,1,1993-01-08,1993
30,435,38,1,1993-01-08,1993
31,1730,1,1,1993-01-09,1993
32,1493,41,1,1993-01-09,1993
33,374,38,1,1993-01-09,1993
34,2925,1,1,1993-01-10,1993
35,866,9,1,1993-01-10,1993
36,1628,60,1,1993-01-10,1993
37,2379,44,1,1993-01-10,1993
38,1979,26,1,1993-01-11,1993
39,346,37,1,1993-01-11,1993
40,1338,74,1,1993-01-11,1993
41,1909,14,1,1993-01-12,1993
42,2099,3,2,1993-01-12,1993
43,3760,44,1,1993-01-13,1993
44,5270,44,1,1993-01-13,1993
45,1699,53,1,1993-01-14,1993
46,3909,1,1,1993-01-14,1993
47,2926,50,1,1993-01-14,1993
48,1731,33,1,1993-01-14,1993
49,11265,15,1,1993-01-14,1993
50,2519,4,1,1993-01-15,1993
51,10364,55,1,1993-01-17,1993
52,1481,15,1,1993-01-17,1993
53,401,32,1,1993-01-18,1993
54,4034,1,1,1993-01-18,1993
55,2330,54,1,1993-01-19,1993
56,1806,40,1,1993-01-19,1993
57,3834,54,1,1993-01-19,1993
58,1222,66,1,1993-01-20,1993
59,212,27,2,1993-01-20,1993
60,456,49,1,1993-01-21,1993
61,459,47,1,1993-01-21,1993
62,772,45,1,1993-01-21,1993
63,1019,52,1,1993-01-21,1993
64,11295,74,1,1993-01-21,1993
65,2970,60,1,1993-01-22,1993
66,2676,73,1,1993-01-22,1993
67,1536,41,2,1993-01-22,1993
68,1179,74,1,1993-01-23,1993
69,280,25,1,1993-01-23,1993
70,2425,41,1,1993-01-23,1993
71,9307,68,1,1993-01-24,1993
72,4055,23,1,1993-01-24,1993
73,5065,66,1,1993-01-24,1993
74,3704,75,1,1993-01-24,1993
75,477,1,1,1993-01-25,1993
76,5891,54,1,1993-01-25,1993
77,1000,77,1,1993-01-25,1993
78,1750,1,1,1993-01-26,1993
79,2023,68,1,1993-01-26,1993
80,6473,12,1,1993-01-26,1993
81,1649,46,1,1993-01-26,1993
82,2670,13,1,1993-01-27,1993
83,1127,27,1,1993-01-27,1993
84,163,30,1,1993-01-27,1993
85,2566,48,1,1993-01-27,1993
86,9,70,1,1993-01-27,1993
