,card_id,disp_id,card_type,card_issued
0,813,5873,junior,961028
1,1014,9452,classic,961102
2,408,2560,classic,961210
3,1118,11393,classic,970102
4,565,3601,gold,970106
5,1173,12442,classic,970508
6,847,6610,classic,970520
7,1178,12542,classic,970619
8,280,1793,classic,970622
9,1138,11825,classic,970629
10,511,3257,junior,970806
11,140,798,classic,970822
12,355,2267,classic,970828
13,1115,11375,junior,971003
14,436,2759,classic,971009
15,45,272,classic,971205
16,891,7434,classic,971223
17,434,2739,classic,971230
18,517,3291,classic,980109
19,965,8636,classic,980402
20,1194,12781,junior,980430
21,17,127,classic,980607
22,623,3984,classic,980725
23,923,7855,classic,980924
24,53,333,classic,981013
