,district_id,region,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,criminal growth,unemploymant growth,enterpreuners ratio
0,1,Prague,0,0,0,1,1,1.0,12541,0.01114566294286997,0.14,0.167
1,2,central Bohemia,80,26,6,2,5,0.467,8507,0.005794068673777058,0.18000000000000016,0.132
2,3,central Bohemia,55,26,4,1,5,0.41700000000000004,8980,-0.00014621437686091024,0.26,0.111
3,4,central Bohemia,63,29,6,2,6,0.674,9753,0.004323083799777174,0.41000000000000014,0.109
4,5,central Bohemia,65,30,4,1,6,0.514,9307,0.004434404283801874,0.5799999999999996,0.118
5,6,central Bohemia,60,23,4,2,4,0.515,8546,0.0061567666713697525,1.0699999999999994,0.126
6,7,central Bohemia,38,28,1,3,6,0.634,9920,0.005880179466877804,0.6100000000000003,0.13
7,8,central Bohemia,95,19,7,1,8,0.6940000000000001,11277,-0.001713291393387766,0.18999999999999995,0.127
8,9,central Bohemia,61,23,4,2,6,0.5529999999999999,8899,-0.006146734854445318,0.5800000000000001,0.149
9,10,central Bohemia,55,29,4,3,5,0.467,10124,0.005494982841753182,-0.020000000000000018,0.141
10,11,central Bohemia,35,36,9,0,7,0.365,9622,0.0007139363010166982,0.13999999999999996,0.154
11,12,central Bohemia,84,29,6,1,6,0.58,8754,0.0005933067581347919,0.47999999999999954,0.137
12,13,central Bohemia,61,22,1,1,2,0.413,8598,0.005155690732738636,0.48999999999999977,0.123
13,14,south Bohemia,69,27,10,1,9,0.748,10045,-0.0017390227705052733,0.29000000000000004,0.135
14,15,south Bohemia,22,16,7,1,5,0.519,9045,0.0005782706306551466,0.4700000000000002,0.124
15,16,south Bohemia,74,21,10,1,8,0.569,8427,0.00041519839030777913,0.41999999999999993,0.107
16,17,south Bohemia,99,15,4,2,7,0.614,8114,0.0024033917528557157,0.2400000000000002,0.119
17,18,south Bohemia,60,13,2,1,4,0.653,8968,0.002404560177654564,0.52,0.131
18,19,south Bohemia,50,11,3,1,4,0.527,8402,0.0019444660496227735,0.8500000000000001,0.12
19,20,south Bohemia,94,14,3,1,4,0.584,8547,-0.00029725674489709255,0.9900000000000002,0.12
20,21,south Bohemia,87,16,7,1,7,0.67,9104,0.000532187678403824,0.5599999999999998,0.123
21,22,west Bohemia,65,16,4,1,6,0.524,8620,0.00047945205479452054,0.1499999999999999,0.1
22,23,west Bohemia,21,11,4,3,9,0.855,8624,0.003649092302588682,0.8700000000000001,0.102
23,24,west Bohemia,25,21,6,2,8,0.8,8991,0.0006117305449295695,0.6199999999999999,0.128
24,25,west Bohemia,60,33,3,2,10,0.617,8554,0.004461619928569014,0.20999999999999996,0.113
25,26,west Bohemia,0,0,0,1,1,1.0,10787,0.0012907086577216645,0.44999999999999973,0.131
26,27,west Bohemia,71,19,10,0,7,0.43799999999999994,8561,0.0014562096941959641,0.64,0.11
