,loan_id,loan_amount,loan_duration,loan_payments,loan_status,client_gender,account_frequency,region,ratio of urban inhabitants ,average salary ,criminal growth,unemploymant growth,enterpreuners ratio,age on loan,account age at loan,trans_type_count_credit,trans_type_mean_credit,trans_amount_mean,trans_amount_min,trans_amount_max,trans_amount_std,trans_amount_last,trans_balance_mean,trans_balance_min,trans_balance_max,trans_balance_std,trans_balance_last,negative_balance,months_until_bankrupt,ops_per_month
0,4959,80952,24,3373,1,0,monthly,Prague,1.0,12541,0.01114566294286997,0.14,0.167,48,11,22,0.4074074074074074,515.5685185185185,-22400.0,30354.0,11895.998464916345,138.3,32590.624074074072,1100.0,67529.6,12061.705681876094,27855.2,0,8,4.909090909090909
1,4961,30276,12,2523,-1,1,monthly,south Bohemia,0.67,9104,0.000532187678403824,0.5599999999999998,0.123,57,12,46,0.575,198.18,-18200.0,22708.0,9205.689080326661,15139.0,25197.0925,715.0,58157.5,15039.248404932323,15854.0,0,6,6.666666666666667
2,4973,165960,24,6915,1,1,monthly,south Bohemia,0.569,8427,0.00041519839030777913,0.41999999999999993,0.107,51,19,37,0.296,189.51520000000002,-41400.0,62235.0,20882.029392885444,114.1,52523.2448,700.0,107069.6,20955.646998372446,23703.8,0,3,6.578947368421052
3,4996,88440,12,7370,1,1,after-transaction,north Bohemia,0.853,9317,-0.0006010084453394527,0.5800000000000001,0.097,51,6,16,0.5161290322580645,2545.4129032258065,-35100.0,47976.0,21020.897593232345,282.6,62778.09032258065,200.0,103239.0,21638.258869671175,79007.6,0,10,5.166666666666667
4,5002,104808,12,8734,1,0,monthly,south Moravia,0.483,8512,-0.0011443829868395957,0.6100000000000003,0.102,54,6,12,0.4,933.8466666666667,-16400.0,25970.0,10052.730130005115,-3900.0,38709.829999999994,500.0,57865.3,11517.175248212317,28015.4,0,3,5.0
5,5032,123696,48,2577,1,0,monthly,south Moravia,0.46,8772,0.002439709481963003,0.29000000000000004,0.126,54,11,22,0.36065573770491804,412.90491803278684,-32100.0,48476.0,15349.418522400405,-14.6,49084.381967213114,300.0,89822.2,20572.457529737083,25187.2,0,9,5.545454545454546
6,5044,100980,60,1683,1,0,monthly,south Moravia,1.0,9897,-6.450447661067678e-05,0.3599999999999999,0.14,29,12,27,0.38571428571428573,673.3971428571429,-22900.0,20922.0,8168.072604859274,-4739.0,35614.74428571429,600.0,53376.7,9576.327716908689,48637.7,0,28,5.833333333333333
7,5045,187224,24,7801,-1,0,monthly,Prague,1.0,12541,0.01114566294286997,0.14,0.167,47,17,38,0.4318181818181818,577.6386363636364,-51900.0,46293.0,17258.630286253032,-14.6,42084.31136363636,-243.3,92571.3,22038.48158908669,50832.1,1,6,5.176470588235294
8,5060,252060,60,4201,-1,1,monthly,south Moravia,0.519,8441,0.0033712028777238504,1.0300000000000002,0.115,28,8,26,0.4262295081967213,1149.122950819672,-41700.0,49937.0,16589.841841132715,-13990.0,57340.50819672131,900.0,106259.6,21418.913855883657,70096.5,0,16,7.625
9,5082,262980,60,4383,1,1,monthly,central Bohemia,0.413,8598,0.005155690732738636,0.48999999999999977,0.123,30,12,24,0.42857142857142855,1358.5964285714285,-22300.0,44022.0,13169.319978136018,43444.0,41729.61607142857,900.0,78574.3,16330.173222315432,76081.3,0,17,4.666666666666667
10,5088,91152,24,3798,1,0,monthly,north Bohemia,0.81,9272,0.0015705610234346742,0.4200000000000004,0.118,53,15,31,0.4025974025974026,511.4116883116883,-26700.0,34184.0,14032.198318519318,-3800.0,44829.54415584415,400.0,72327.7,13400.064096640634,39378.8,0,10,5.133333333333334
11,5125,73056,48,1522,1,0,monthly,north Bohemia,0.899,10446,-0.0017014888027023646,2.0600000000000005,0.09,24,9,23,0.45098039215686275,422.46470588235286,-7100.0,8538.0,3462.2725634371154,5692.0,23255.149019607845,500.0,33555.4,6550.595429955129,21545.7,0,14,5.666666666666667
12,5126,208128,48,4336,-1,0,monthly,south Moravia,1.0,9897,-6.450447661067678e-05,0.3599999999999999,0.14,42,14,29,0.453125,1273.040625,-36500.0,47493.0,15857.719330202128,38929.0,36369.975,-1069.7,96064.0,22812.186440376034,81474.6,1,18,4.571428571428571
13,5128,215616,48,4492,-1,0,monthly,north Moravia,0.484,8173,-0.08155614743872595,3.890657894736842,0.124,39,10,30,0.4918032786885246,141.65081967213115,-18700.0,23130.0,8348.462244442044,-3400.0,21447.624590163938,-3424.6,50124.8,13056.987306542755,8640.6,1,1,6.1
14,5130,24312,12,2026,1,1,monthly,south Bohemia,0.569,8427,0.00041519839030777913,0.41999999999999993,0.107,38,15,37,0.47435897435897434,364.89487179487185,-24322.0,18231.0,7820.337301472649,-6600.0,29380.839743589742,1100.0,48277.9,7695.862800862465,28461.9,0,14,5.2
15,5131,48624,24,2026,1,0,monthly,north Bohemia,0.853,9317,-0.0006010084453394527,0.5800000000000001,0.097,33,17,49,0.4188034188034188,410.2034188034189,-52900.0,41561.0,18414.312454830513,-4514.0,63857.236752136756,200.0,134187.4,25825.858181660515,47993.6,0,23,6.882352941176471
16,5132,538500,60,8975,1,0,monthly,central Bohemia,0.514,9307,0.004434404283801874,0.5799999999999996,0.118,34,11,22,0.3793103448275862,401.2241379310345,-23800.0,32082.0,12446.443589887402,-4605.0,33687.85862068966,200.0,69775.9,13408.02036465337,23271.0,0,2,5.2727272727272725
17,5136,187104,24,7796,1,1,monthly,north Moravia,0.626,8994,-0.0020519896339144354,0.9900000000000002,0.11,19,4,16,0.64,3475.1119999999996,-49500.0,43502.0,26189.536798171266,43502.0,66292.372,300.0,137193.5,34581.40134837078,133377.7,0,17,6.25
18,5138,87216,48,1817,1,1,monthly,Prague,1.0,12541,0.01114566294286997,0.14,0.167,41,20,41,0.27702702702702703,181.04932432432435,-9900.0,15608.0,4828.212336527692,-2400.0,30847.14932432432,700.0,43787.3,6554.760512834303,29638.3,0,16,7.4
19,5145,309552,48,6449,1,0,monthly,north Moravia,0.626,8994,-0.0020519896339144354,0.9900000000000002,0.11,60,8,16,0.45714285714285713,1479.9857142857143,-50600.0,58041.0,24657.712996189184,-16300.0,56105.5,700.0,121713.2,21979.384405419012,51799.4,0,8,4.375
20,5148,284280,60,4738,1,1,monthly,north Bohemia,0.623,9065,0.00016665789519849832,0.9299999999999997,0.123,37,18,36,0.3829787234042553,1006.568085106383,-56800.0,56756.0,22383.063761266145,-4600.0,64182.6414893617,300.0,109361.9,20167.802429516258,94617.3,0,19,5.222222222222222
21,5151,189060,60,3151,1,1,after-transaction,central Bohemia,0.674,9753,0.004323083799777174,0.41000000000000014,0.109,36,6,14,0.4666666666666667,2298.1833333333334,-40300.0,60016.0,25706.572244561994,-3400.0,72242.89666666667,200.0,101793.6,24683.06321415813,68945.6,0,21,5.0
22,5160,204000,60,3400,1,0,monthly,east Bohemia,0.535,8390,0.0005390351271224508,0.6100000000000003,0.132,51,12,25,0.38461538461538464,584.5046153846155,-16100.0,30604.0,11314.380759892345,-4500.0,37809.39846153846,400.0,68172.8,12656.782825432134,45077.7,0,13,5.416666666666667
23,5161,98184,24,4091,1,1,monthly,south Moravia,0.43700000000000006,8403,0.0049124343257443085,-0.020000000000000462,0.105,49,3,11,0.7857142857142857,4925.442857142858,-18200.0,24545.0,13942.285612575772,24545.0,41660.392857142855,500.0,68956.1,19672.650902026955,68956.1,0,16,4.666666666666667
24,5170,253200,60,4220,1,1,weekly,east Bohemia,0.619,8363,0.0016905015394354445,0.9700000000000002,0.108,43,8,21,0.5121951219512195,1979.2853658536587,-42600.0,46304.0,18722.099418689144,12950.0,47302.546341463414,800.0,104417.9,26552.739504598183,81150.6,0,19,5.125
25,5176,192552,24,8023,-1,1,weekly,south Bohemia,0.584,8547,-0.00029725674489709255,0.9900000000000002,0.12,30,15,26,0.5098039215686274,435.79215686274506,-18000.0,23844.0,8933.309713915512,-30.0,23979.011764705883,800.0,49563.0,13015.026674865436,22225.5,0,2,3.4
26,5189,149040,48,3105,1,1,monthly,central Bohemia,0.365,9622,0.0007139363010166982,0.13999999999999996,0.154,25,10,20,0.37037037037037035,352.47407407407394,-15900.0,27946.0,10176.811224139317,126.7,36845.58888888889,200.0,62441.6,12658.246764300018,19048.1,0,6,5.4
27,5208,99696,48,2077,-1,1,monthly,south Moravia,0.43700000000000006,8403,0.0049124343257443085,-0.020000000000000462,0.105,23,21,45,0.4166666666666667,305.24999999999994,-55900.0,49327.0,18451.812213648747,-2000.0,46341.29351851852,-974.6,127684.9,28762.206936050658,32966.8,1,15,5.142857142857143
28,5209,182640,48,3805,1,1,monthly,south Moravia,0.40700000000000003,8544,0.0012835648783702158,0.5700000000000001,0.109,54,8,17,0.425,597.46,-23900.0,34246.0,13537.6138604166,900.0,37802.229999999996,600.0,64411.8,14199.381522847558,23898.3,0,6,5.0
29,5212,71064,36,1974,1,1,monthly,north Bohemia,0.598,8965,0.001968503937007874,1.1500000000000004,0.104,48,13,29,0.3372093023255814,365.0802325581395,-13600.0,22908.0,7683.024506776111,-3000.0,34577.3023255814,700.0,55373.3,9923.171541124484,31397.0,0,15,6.615384615384615
30,5237,45336,24,1889,1,0,monthly,south Bohemia,0.527,8402,0.0019444660496227735,0.8500000000000001,0.12,38,16,33,0.36666666666666664,442.6633333333333,-19900.0,30436.0,11383.029268904229,-11900.0,48152.95333333333,800.0,71486.0,11574.102240004077,40939.5,0,21,5.625
31,5269,164052,36,4557,-1,1,after-transaction,west Bohemia,0.5920000000000001,8930,0.0024165416171340595,0.6800000000000002,0.108,19,12,28,0.4307692307692308,320.1738461538462,-41400.0,48181.0,18364.06408593354,10800.0,41752.161538461536,-2564.7,112045.6,30609.38988808058,20811.2,1,4,5.416666666666667
32,5282,388512,48,8094,-1,1,after-transaction,north Moravia,0.484,8173,-0.08155614743872595,3.890657894736842,0.124,27,21,54,0.45,322.47666666666663,-44700.0,40855.0,11945.175136843793,-35300.0,21371.32,-2838.8,84743.5,21196.682131732654,38697.3,1,4,5.714285714285714
33,5285,78936,12,6578,1,1,monthly,west Bohemia,0.5920000000000001,8930,0.0024165416171340595,0.6800000000000002,0.108,37,9,24,0.47058823529411764,482.37254901960785,-6300.0,11416.0,4574.925270649935,-1187.0,25900.31960784314,900.0,40560.3,7684.869705311071,24601.0,0,3,5.666666666666667
34,5301,141948,36,3943,1,1,monthly,north Moravia,0.5720000000000001,9893,0.00115360413899182,0.6299999999999999,0.096,45,4,7,0.7,4723.98,-16200.0,28840.0,13474.868539766909,176.6,32592.68,800.0,63263.1,17970.97897715462,47239.7,0,11,2.5
35,5310,248148,36,6893,1,1,monthly,west Bohemia,0.369,8594,-0.0007581919190526737,0.3899999999999997,0.112,54,16,37,0.30833333333333335,342.57166666666666,-28960.0,28362.0,9010.165891189434,-6100.0,36063.78833333333,600.0,67486.0,10761.578895609015,41108.6,0,5,7.5
36,5311,30060,60,501,1,0,monthly,west Bohemia,0.369,8594,-0.0007581919190526737,0.3899999999999997,0.112,44,21,45,0.24193548387096775,260.8795698924731,-20000.0,29412.0,8808.490245599618,29412.0,37213.40752688172,500.0,69382.9,11270.503745870139,48523.3,0,96,8.857142857142858
37,5312,202788,36,5633,1,1,weekly,west Bohemia,0.5920000000000001,8930,0.0024165416171340595,0.6800000000000002,0.108,42,13,26,0.3291139240506329,1033.2113924050632,-45200.0,72298.0,24885.420719183476,-11994.0,57124.26835443038,1100.0,139880.9,23297.66357464454,81623.6,0,14,6.076923076923077
38,5314,96396,12,8033,-1,1,weekly,west Bohemia,0.818,9650,-0.0019090410496561618,0.29000000000000004,0.1,45,4,4,1.0,5025.0,1100.0,9900.0,3774.8068383251966,3300.0,12250.0,1100.0,20100.0,8330.8663014919,20100.0,0,2,1.0
39,5316,165960,36,4610,1,0,monthly,east Bohemia,0.735,8369,-0.0020938877995546053,0.52,0.117,24,5,17,0.4594594594594595,1411.0513513513515,-54300.0,36574.0,17882.99905901663,-3419.0,52083.85945945946,700.0,120512.8,29122.05945394563,52208.9,0,11,7.4
40,5319,239460,60,3991,1,1,monthly,north Moravia,0.5720000000000001,9893,0.00115360413899182,0.6299999999999999,0.096,51,9,18,0.391304347826087,787.8369565217391,-23200.0,35918.0,14366.69601417511,-7400.0,40061.580434782605,300.0,74408.8,16062.53213841481,36240.6,0,9,5.111111111111111
41,5325,105804,36,2939,1,1,monthly,south Bohemia,0.748,10045,-0.0017390227705052733,0.29000000000000004,0.135,53,7,13,0.52,1371.704,-15600.0,26448.0,11376.124631125487,-14.6,41297.48,1000.0,65898.5,14151.260443037105,34292.7,0,11,3.5714285714285716
42,5329,396120,60,6602,1,1,weekly,south Bohemia,0.527,8402,0.0019444660496227735,0.8500000000000001,0.12,46,18,36,0.37894736842105264,932.7399999999999,-37300.0,59415.0,23071.99069204264,39610.0,58855.27789473684,500.0,104859.1,20275.14198096615,88610.1,0,13,5.277777777777778
43,5337,162468,36,4513,1,1,monthly,north Bohemia,0.81,9272,0.0015705610234346742,0.4200000000000004,0.118,38,4,10,0.6666666666666666,4975.92,-34500.0,40614.0,20976.229950323705,-1800.0,51279.55333333334,700.0,83862.8,24180.888923925817,74638.8,0,16,3.75
44,5350,249312,48,5194,1,0,weekly,west Bohemia,1.0,10787,0.0012907086577216645,0.44999999999999973,0.131,40,14,30,0.5,923.7783333333333,-32100.0,47112.0,15757.60533495602,-5300.0,35914.854999999996,900.0,88597.4,23021.04106123776,55426.5,0,10,4.285714285714286
45,5351,205200,36,5700,1,1,weekly,Prague,1.0,12541,0.01114566294286997,0.14,0.167,31,18,36,0.27906976744186046,423.1480620155039,-31200.0,51303.0,15181.225295158476,-12400.0,58336.31162790698,900.0,93928.5,17204.070909560676,54586.0,0,9,7.166666666666667
46,5352,68400,12,5700,-1,1,monthly,north Moravia,0.5720000000000001,9893,0.00115360413899182,0.6299999999999999,0.096,18,6,9,0.6428571428571429,1710.4428571428573,-15800.0,31037.0,11837.386810032427,147.7,31793.735714285714,800.0,51242.2,12297.15509867766,23946.1,0,4,2.3333333333333335
47,5366,86184,12,7182,1,1,monthly,north Moravia,0.899,10177,0.0008059231850084271,1.12,0.081,55,7,16,0.38095238095238093,944.3095238095239,-50500.0,64642.0,24820.578617052288,-18346.0,60273.67857142857,300.0,128146.0,25642.077157191914,39660.8,0,5,6.0
48,5375,101520,12,8460,1,1,monthly,Prague,1.0,12541,0.01114566294286997,0.14,0.167,19,8,18,0.47368421052631576,440.0210526315789,-10000.0,18513.0,7559.930255260935,-14.6,26449.092105263157,400.0,43218.7,10352.391968575044,16720.8,0,1,4.75
49,5385,71460,36,1985,1,1,monthly,Prague,1.0,12541,0.01114566294286997,0.14,0.167,16,8,16,0.5161290322580645,1601.5774193548389,-26600.0,33669.0,14548.728832117022,-14.6,49220.9806451613,700.0,76403.1,16380.59460647302,49648.9,0,25,3.875
50,5388,61560,12,5130,1,0,weekly,west Bohemia,0.5920000000000001,8930,0.0024165416171340595,0.6800000000000002,0.108,53,10,22,0.30985915492957744,282.4112676056338,-30200.0,46166.0,15201.640624067517,-10303.0,32967.71267605634,200.0,73559.9,17762.224670277326,20051.1,0,3,7.1
51,5390,170256,24,7094,1,1,monthly,south Bohemia,0.569,8427,0.00041519839030777913,0.41999999999999993,0.107,29,14,31,0.4025974025974026,562.3753246753247,-29300.0,36552.0,13573.222844990716,-3720.0,40091.18311688312,200.0,79869.8,13589.38398884065,43302.8,0,6,5.5
52,5395,299088,36,8308,-1,1,monthly,north Moravia,0.631,8110,-0.0015558111905255812,0.7800000000000002,0.109,27,13,46,0.36507936507936506,154.35476190476183,-59400.0,47189.0,19417.910063887335,14198.0,51992.85476190476,500.0,193909.9,33855.698025767204,19448.5,0,2,9.692307692307692
