,loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status
0,5895,4473,1997-01-03,93960,60,1566,
1,7122,10365,1997-01-04,260640,36,7240,
2,6173,5724,1997-01-08,232560,48,4845,
3,6142,5591,1997-01-21,221880,60,3698,
4,5358,2018,1997-01-21,38520,12,3210,
5,6095,5358,1997-01-24,68340,60,1139,
6,6878,9242,1997-01-24,23184,12,1932,
7,6554,7637,1997-01-29,390096,48,8127,
8,6793,8931,1997-01-30,186300,60,3105,
9,7286,11271,1997-01-31,67320,36,1870,
10,6076,5269,1997-02-02,117420,60,1957,
11,5134,825,1997-02-02,53076,12,4423,
12,5419,2246,1997-02-05,415800,60,6930,
13,6255,6158,1997-02-08,247920,48,5165,
14,5656,3353,1997-02-09,146064,24,6086,
15,6934,9494,1997-02-09,116832,12,9736,
16,6028,5072,1997-02-09,317520,60,5292,
17,6490,7262,1997-02-10,73260,60,1221,
18,6415,6950,1997-02-12,475680,48,9910,
19,7087,10215,1997-02-20,44304,24,1846,
20,5420,2247,1997-02-24,72504,24,3021,
21,5977,4803,1997-02-25,59136,48,1232,
22,6824,9052,1997-02-26,71976,24,2999,
23,5207,1244,1997-02-28,35904,48,748,
24,7115,10351,1997-03-04,88704,48,1848,
25,7250,11069,1997-03-04,119136,48,2482,
26,6010,4969,1997-03-06,150180,60,2503,
27,6088,5317,1997-03-07,90180,36,2505,
28,5682,3455,1997-03-07,67464,12,5622,
29,7201,10807,1997-03-07,67464,12,5622,
30,6938,9504,1997-03-10,341280,60,5688,
31,6875,9235,1997-03-13,83280,48,1735,
32,5953,4715,1997-03-14,97176,24,4049,
33,5942,4681,1997-03-15,162624,48,3388,
34,5382,2134,1997-03-17,22932,36,637,
35,6377,6792,1997-03-17,17184,12,1432,
36,5931,4618,1997-03-17,66696,24,2779,
37,5992,4863,1997-03-18,76080,12,6340,
38,5790,4033,1997-03-20,84288,48,1756,
39,6753,8688,1997-03-20,67980,12,5665,
40,6562,7674,1997-03-21,94488,24,3937,
41,7046,10049,1997-03-28,91632,12,7636,
42,5868,4361,1997-03-29,90156,12,7513,
43,5784,3967,1997-03-29,84600,36,2350,
44,5878,4415,1997-04-01,74040,12,6170,
45,5110,675,1997-04-01,102240,60,1704,
46,5210,1252,1997-04-01,148140,36,4115,
47,7230,10954,1997-04-02,18720,60,312,
48,5005,176,1997-04-10,27456,12,2288,
49,6871,9225,1997-04-13,164256,48,3422,
50,5363,2051,1997-04-22,293880,60,4898,
51,7253,11079,1997-04-26,98304,12,8192,
52,6055,5181,1997-04-28,399120,60,6652,
53,5072,472,1997-04-28,196800,24,8200,
54,6913,9377,1997-04-29,99936,24,4164,
55,6386,6856,1997-04-30,124344,36,3454,
56,5634,3229,1997-05-01,39024,12,3252,
57,5758,3859,1997-05-02,307200,60,5120,
