Id,Predicted
4962,0.11
4967,0.71
4968,0.27666666666666667
4986,0.03
4988,0.72
4989,0.43666666666666665
4990,0.05
5005,0.15
5015,0.24666666666666667
5027,0.14666666666666667
5034,0.05
5036,0.37
5039,0.29
5041,0.05
5042,0.12666666666666665
5043,0.1
5046,0.53
5051,0.05
5061,0.13
5063,0.78
5072,0.32
5086,0.26666666666666666
5103,0.08
5110,0.19
5117,0.11
5124,0.27666666666666667
5134,0.3
5140,0.29
5147,0.07
5154,0.3666666666666667
5158,0.34
5169,0.13
5172,0.18
5174,0.1
5206,0.17
5207,0.1
5210,0.08
5214,0.42
5221,0.3
5226,0.7566666666666666
5229,0.17
5236,0.14
5241,0.47
5245,0.35
5253,0.6
5260,0.18666666666666665
5265,0.3666666666666667
5270,0.06
5281,0.15
5287,0.45
5293,0.11
5304,0.08
5313,0.05
5318,0.65
5320,0.36
5332,0.01
5334,0.29
5338,0.76
5343,0.07
5346,0.4
5354,0.09
5358,0.44
5360,0.05
5363,0.88
5365,0.76
5367,0.31
5368,0.14
5369,0.06
5377,0.11
5382,0.04
5384,0.2
5389,0.21
5398,0.18
5419,0.48
5420,0.29
5428,0.18666666666666668
5435,0.08
5446,0.28
5447,0.81
5451,0.3241666666666667
5463,0.1
5469,0.63
5486,0.18666666666666665
5491,0.46
5501,0.27
5520,0.13
5525,0.2366666666666667
5526,0.05
5527,0.27666666666666667
5531,0.15
5532,0.12
5556,0.38
5561,0.27
5569,0.43933333333333335
5582,0.07
5584,0.02
5585,0.42
5589,0.6966666666666665
5614,0.21600000000000003
5616,0.33
5620,0.28
5634,0.06
5638,0.42
5643,0.24
5644,0.14
5651,0.07
5656,0.11666666666666665
5665,0.03
5669,0.05666666666666667
5674,0.41666666666666663
5681,0.32
5682,0.07
5683,0.48666666666666664
5698,0.05
5699,0.28
5718,0.0
5719,0.44
5731,0.5666666666666667
5758,0.72
5760,0.07
5765,0.25
5772,0.2366666666666667
5773,0.52
5774,0.44
5779,0.41666666666666663
5782,0.36
5784,0.43666666666666665
5790,0.4
5799,0.22666666666666668
5808,0.01
5815,0.3666666666666667
5817,0.81
5823,0.1775
5830,0.1
5841,0.21
5850,0.16
5856,0.62
5862,0.0
5865,0.3266666666666667
5868,0.1
5878,0.08
5889,0.21
5893,0.37
5895,0.05
5906,0.31
5909,0.05
5930,0.29
5931,0.52
5932,0.31
5933,0.2
5940,0.16666666666666663
5942,0.04
5953,0.2
5956,0.5266666666666666
5963,0.17
5973,0.2
5976,0.6
5977,0.14
5991,0.89
5992,0.09
6007,0.34666666666666673
6010,0.4766666666666666
6014,0.04
6028,0.08
6037,0.03
6044,0.13
6052,0.1
6054,0.45
6055,0.5166666666666666
6059,0.34666666666666673
6075,0.72
6076,0.13666666666666666
6078,0.05
6083,0.74
6088,0.55
6095,0.06
6097,0.12
6104,0.23
6113,0.10666666666666667
6118,0.2366666666666667
6136,0.5366666666666666
6142,0.03
6147,0.51
6168,0.26
6173,0.16
6196,0.27
6207,0.05
6215,0.06
6234,0.02
6235,0.07
6237,0.86
6239,0.47
6242,0.08
6249,0.57
6254,0.49
6255,0.61
6278,0.22
6310,0.24
6312,0.05
6313,0.3266666666666667
6320,0.11
6321,0.36
6322,0.21666666666666667
6338,0.25
6346,0.26
6350,0.09
6353,0.09
6355,0.3666666666666667
6357,0.07
6377,0.06
6386,0.13
6399,0.06
6402,0.05
6415,0.41666666666666663
6435,0.25
6436,0.34
6437,0.51
6442,0.1
6450,0.08
6464,0.17
6468,0.06
6469,0.11666666666666665
6470,0.08
6486,0.33
6490,0.13666666666666666
6495,0.43
6502,0.1
6508,0.26666666666666666
6534,0.25
6539,0.07
6541,0.09
6544,0.16
6552,0.05
6553,0.11
6554,0.33
6562,0.21
6568,0.27
6569,0.17
6571,0.01
6574,0.26
6605,0.15
6607,0.06
6612,0.66
6621,0.07
6625,0.44
6632,0.12
6633,0.11
6641,0.25
6643,0.01
6655,0.32
6660,0.21
6665,0.08
6675,0.05
6677,0.25
6682,0.81
6688,0.19
6695,0.22
6705,0.17
6727,0.28
6730,0.22
6746,0.4893333333333334
6748,0.6193333333333334
6753,0.23
6755,0.43933333333333335
6758,0.29
6763,0.42
6766,0.12
6790,0.28
6791,0.22
6793,0.17
6819,0.25
6821,0.33
6824,0.68
6851,0.72
6852,0.08
6855,0.12
6856,0.6
6857,0.06
6859,0.41
6861,0.13933333333333334
6866,0.16
6868,0.28
6871,0.31
6872,0.44
6875,0.16
6877,0.21
6878,0.17
6887,0.35
6908,0.43
6913,0.14
6922,0.3
6923,0.13
6926,0.09
6932,0.06
6934,0.7893333333333333
6938,0.06
6942,0.04
6948,0.36
6956,0.35
6959,0.66
6962,0.34
6969,0.08
6970,0.21
6984,0.21
7001,0.05
7035,0.08
7037,0.07
7046,0.71
7049,0.18
7050,0.16
7051,0.28
7067,0.29
7072,0.02
7085,0.63
7087,0.06
7088,0.04
7091,0.13
7096,0.08
7100,0.15
7110,0.28
7115,0.32
7119,0.32
7122,0.94
7129,0.02
7139,0.03
7147,0.61
7151,0.14
7164,0.2
7167,0.12
7168,0.19
7171,0.1
7172,0.07
7181,0.29
7187,0.04
7195,0.34
7199,0.11
7200,0.17
7201,0.06
7202,0.36
7209,0.69
7219,0.07
7221,0.44
7230,0.04
7242,0.11
7250,0.03
7253,0.1
7255,0.23
7264,0.11
7277,0.14
7279,0.39
7286,0.22
7292,0.05
7294,0.11
7295,0.2
